index,timestampString,Addr1,Addr2,Addr3,Price,Beds,Baths,SqFt,url,Page,,,,,,,,,,,,,,
4,"Wed, 17 Aug 2022 23:41:30 GMT","719 W 59Th Street, Chicago, IL",719 W 59Th Street,"719 W 59Th Street, IL",250000,5.00,2,-,https://www.fultongrace.com/houses-for-sale/illinois/,1,,,,,,,,,,,,,,
5,"Wed, 17 Aug 2022 23:41:30 GMT","1216 W George Street, Chicago, IL",1216 W George Street,"1216 W George Street, IL",3199000,6.00,4.5,-,https://www.fultongrace.com/houses-for-sale/illinois/,1,,,,,,,,,,,,,,
7,"Wed, 17 Aug 2022 23:41:30 GMT","1629 S Prairie Avenue, Unit 2603, C...",1629 S Prairie Avenue,"1629 S Prairie Avenue, IL",485000,2.00,2,1386,https://www.fultongrace.com/houses-for-sale/illinois/,1,,,,,,,,,,,,,,
10,"Wed, 17 Aug 2022 23:41:30 GMT","1929 W Irving Park Road, Unit 3, Ch...",1929 W Irving Park Road,"1929 W Irving Park Road, IL",390000,3.00,1,1500,https://www.fultongrace.com/houses-for-sale/illinois/,1,,,,,,,,,,,,,,
14,"Wed, 17 Aug 2022 23:41:30 GMT","1414 Marengo Avenue, Forest Park, I...",1414 Marengo Avenue,"1414 Marengo Avenue, IL",599000,4.00,3.5,2400,https://www.fultongrace.com/houses-for-sale/illinois/,1,,,,,,,,,,,,,,
16,"Wed, 17 Aug 2022 23:41:30 GMT","811 W Eastwood Avenue, Unit 605, Ch...",811 W Eastwood Avenue,"811 W Eastwood Avenue, IL",279000,2.00,2,950,https://www.fultongrace.com/houses-for-sale/illinois/,1,,,,,,,,,,,,,,
17,"Wed, 17 Aug 2022 23:41:30 GMT","1735 W Diversey Parkway, Unit 221, ...",1735 W Diversey Parkway,"1735 W Diversey Parkway, IL",539999,3.00,2,1600,https://www.fultongrace.com/houses-for-sale/illinois/,1,,,,,,,,,,,,,,
18,"Wed, 17 Aug 2022 23:41:30 GMT","1066 N Paulina Street, Unit 3, Chic...",1066 N Paulina Street,"1066 N Paulina Street, IL",799000,-,-,-,https://www.fultongrace.com/houses-for-sale/illinois/,1,,,,,,,,,,,,,,
20,"Wed, 17 Aug 2022 23:41:30 GMT","856 N Campbell Avenue, Unit 1, Chic...",856 N Campbell Avenue,"856 N Campbell Avenue, IL",799000,4.00,3.5,-,https://www.fultongrace.com/houses-for-sale/illinois/,1,,,,,,,,,,,,,,
21,"Wed, 17 Aug 2022 23:41:30 GMT","856 N Campbell Avenue, Unit 3, Chic...",856 N Campbell Avenue,"856 N Campbell Avenue, IL",649000,2.00,2,-,https://www.fultongrace.com/houses-for-sale/illinois/,1,,,,,,,,,,,,,,
22,"Wed, 17 Aug 2022 23:41:30 GMT","856 N Campbell Avenue, Unit 2, Chic...",856 N Campbell Avenue,"856 N Campbell Avenue, IL",549000,2.00,2,-,https://www.fultongrace.com/houses-for-sale/illinois/,1,,,,,,,,,,,,,,
23,"Wed, 17 Aug 2022 23:41:30 GMT","6450 S Kimbark Avenue, Chicago, IL",6450 S Kimbark Avenue,"6450 S Kimbark Avenue, IL",969000,6.00,3.5,4200,https://www.fultongrace.com/houses-for-sale/illinois/,1,,,,,,,,,,,,,,
